Name,Cumul.reads_dtBaseline_1_2018-09-05_ds10813553,Cumul.reads_dtBaseline_10_2018-09-14_ds10813559,Cumul.reads_dtBaseline_11_2018-09-15_ds10813571,Cumul.reads_dtBaseline_12_2018-09-16_ds10813570,Cumul.reads_dtBaseline_13_2018-09-17_ds10813556,Cumul.reads_dtBaseline_14_2018-09-18_ds10813558,Cumul.reads_dtBaseline_15_2018-09-19_ds10813575,Cumul.reads_dtBaseline_16_2018-09-20_ds10811746,Cumul.reads_dtBaseline_17_2018-09-21_ds10813554,Cumul.reads_dtBaseline_18_2018-09-22_ds10813555,Cumul.reads_dtBaseline_19_2018-09-23_ds10813563,Cumul.reads_dtBaseline_2_2018-09-06_ds10813564,Cumul.reads_dtBaseline_20_2018-09-24_ds10813569,Cumul.reads_dtBaseline_21_2018-09-25_ds10813551,Cumul.reads_dtBaseline_22_2018-09-26_ds10813572,Cumul.reads_dtBaseline_23_2018-09-27_ds10813557,Cumul.reads_dtBaseline_24_2018-09-28_ds10813561,Cumul.reads_dtBaseline_25_2018-09-29_ds10811749,Cumul.reads_dtBaseline_26_2018-09-30_ds10813560,Cumul.reads_dtBaseline_27_2018-10-01_ds10813567,Cumul.reads_dtBaseline_28_2018-10-02_ds10813574,Cumul.reads_dtBaseline_29_2018-10-03_ds10813578,Cumul.reads_dtBaseline_3_2018-09-07_ds10811748,Cumul.reads_dtBaseline_30_2018-10-04_ds10811747,Cumul.reads_dtBaseline_31_2018-10-05_ds10813562,Cumul.reads_dtBaseline_32_2018-10-06_ds10813566,Cumul.reads_dtBaseline_33_2018-10-07_ds10813573,Cumul.reads_dtBaseline_4_2018-09-08_ds10813565,Cumul.reads_dtBaseline_5_2018-09-09_ds10813552,Cumul.reads_dtBaseline_6_2018-09-10_ds10813576,Cumul.reads_dtBaseline_7_2018-09-11_ds10813577,Cumul.reads_dtBaseline_8_2018-09-12_ds10811750,Cumul.reads_dtBaseline_9_2018-09-13_ds10813568,Cumul.reads_dtKefir_ds10826596,Cumul.reads_dtNeg_DNAextr_1_ds10826595,Cumul.reads_dtNeg_DNAextr_2_ds10828555,Cumul.reads_dtNeg_DNAextr_3_ds10828557,Cumul.reads_dtNeg_DNAextr_4_ds10828558,Cumul.reads_dtNeg_DNAextr_5_ds10826597,Cumul.reads_dtNeg_DNAextr_6_ds10828559,Cumul.reads_dtOutsideFarm_1_2018-09-05_ds10826589,Cumul.reads_dtOutsideFarm_10_2018-10-01_ds10826591,Cumul.reads_dtOutsideFarm_11_2018-10-03_ds10826593,Cumul.reads_dtOutsideFarm_12_2018-10-06_ds10828553,Cumul.reads_dtOutsideFarm_13_2018-10-07_ds10828554,Cumul.reads_dtOutsideFarm_2_2018-09-10_ds10828551,Cumul.reads_dtOutsideFarm_3_2018-09-11_ds10826599,Cumul.reads_dtOutsideFarm_4_2018-09-12_ds10826598,Cumul.reads_dtOutsideFarm_5_2018-09-17_ds10828552,Cumul.reads_dtOutsideFarm_6_2018-09-20_ds10826592,Cumul.reads_dtOutsideFarm_7_2018-09-22_ds10826594,Cumul.reads_dtOutsideFarm_8_2018-09-24_ds10826590,Cumul.reads_dtOutsideFarm_9_2018-09-28_ds10826600,Cumul.reads_dtSequencingBlank_ds10828556,Cumul.reads_dtTxAntibiotic_1_2018-09-06_ds10798909,Cumul.reads_dtTxAntibiotic_10_2018-10-03_ds10798906,Cumul.reads_dtTxAntibiotic_11_2018-10-04_ds10798915,Cumul.reads_dtTxAntibiotic_12_2018-10-05_ds10798912,Cumul.reads_dtTxAntibiotic_2_2018-09-07_ds10798908,Cumul.reads_dtTxAntibiotic_3_2018-09-13_ds10798911,Cumul.reads_dtTxAntibiotic_4_2018-09-14_ds10798910,Cumul.reads_dtTxAntibiotic_5_2018-09-19_ds10798913,Cumul.reads_dtTxAntibiotic_6_2018-09-20_ds10798904,Cumul.reads_dtTxAntibiotic_7_2018-09-21_ds10798907,Cumul.reads_dtTxAntibiotic_8_2018-09-26_ds10798914,Cumul.reads_dtTxAntibiotic_9_2018-09-29_ds10798905
Pseudopropionibacterium,2,3.99,2,3,2,2,1,2,3,2.1,3,3,3,1,3,2,2.15,3,1,3,4,4,2,3,1,3.37,2,2,1,2,2,2,2.1,1.34,1,1,1,1,1,1,2,1,1,2,1.95,4,2.87,2.02,2,3,2,2,3,1,2.98,2,2,3,2,2,2.15,3,2,1,3,2
Pseudoxanthomonas,2,3,3,3,2.28,2,3,3,3,2,2.89,2,3,2,2,2,2,4,2,2,2,4,3,3.98,1,4,3,2.91,2,2,2,3,2,2.14,1,1,1,1,1,1,1,3,4,2,1.94,2,2,3,2,2.03,3,2,3,1,2,2,2,4,2.03,2,2,2,3,2,3,2
Psychrobacter,5,5,6,5,5,6,6,5.49,6,5,5,5,5.04,6,6,5,5,5,4,6,6,5,6,5.99,4,6,5,5,6,6,5,4.99,5,4,3.9,5,4,4.56,5,5,4,6,4.02,4.01,5,6,5,6,5,6,6,6,5,5.91,5,5,6,6,4,4,5.32,4.64,5,6,6,5.02
Psychromonas,2,1,2.87,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1.99,1,1,2,1,1,1,1,1,1,1,1,1,1
Rahnella,5,6,6,5,6,6,5,6,5,5,5,5,6,4,5,5,5,5,3,5,6,2,6,2.99,1,2,3,6,6,5,5,6.01,5,1.43,2.7,4,3,4,2,4.48,4,5,1,3,2,5,6,5.74,5,6,5,5,6,1,4,4,5,3,5,4,5,5,4.61,4,5,3
Ralstonia,2,3,2,3.4,2.3,3,2,2,3,3,2,3,2,2,1,2,3,2,2,2,3.37,2,2.36,2,1,2,1,3,2,2,2.06,2.44,2,1,1,1,2.04,1,1,1,1,1,3,1,1.97,3,3,1,3,2.04,3,2,2.01,1,2,2,2,3,3,2,3,3,1,2,1,1
Ramlibacter,2,2,1,2.96,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,2,2.72,2,2.35,1,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,2.68,1,1,1,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1
Raoultella,4,5,4.68,6,4,5,5,5,5,5,4,4,5,4,5,3,4,4,3,4,4,3.99,5,4,1,4,3,4,5,5.15,4,4.97,5,1.58,3.98,2.02,2.01,5,3.21,2,4,5,3,3,2.14,5,6,5,3,5,4,5,5,3.08,6,5,4,4,5,3,5,5.54,5,5,4,5
Rathayibacter,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,2,2,2,3,1,1,1,1,1,1,1,1,2,1,2,2,2,2.11,1,1,1,2,1,1.99,1,2,2,2,2.94,1,1,2,2,1,1,2,1
Rhizobium,4,4,4,4,3,4.23,4,3,4,3.13,3.98,4,4.18,2.7,5,3,4,5,2,4,3,6,4,5.99,3,6,5,3.51,5,5,4,4,4.58,3.07,3.9,1,2.02,3.55,1,2,3,4,5,5,5,4,4,5,3,5,4,4.12,4,1,5,3,3,7,4,3,4,4,4,3,4,2
Rhodobacter,3,3,3,2.14,3.03,4,1,2.95,3,2.92,2,2,3,2,2,2,3,3,1,2.1,2.01,3.53,4,2.05,1,3,3,2.01,4,3,3,2.15,3.12,1,1,1,1,1,1,1,2.94,3,3,3,3,3,2,4,3,2.73,2,3,1,1,2,2,3,4,3,2.03,3,2.85,3,2,2,1
Rhodococcus,3,4,4.61,4.75,4,4,3,3,4,3.96,3,3,4,3,2.38,3,4,4,2,4,4,5,5,4.99,3,4,7,3,5.7,4,3,3.81,4,3.01,1,1,3,2,1,1,3,4,4,4,5,4,4,5,3.53,4,4,4,4,1,4,3,3,5,4,3,4,4,4,2.07,3,2
Rhodoferax,2,2,2,2,2,2.48,2,2,2.79,1,1,2,2,1,1,1,2,2,1,2,2.94,3,2,1,2,2,2,2,2.66,2,2,2,3,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,2,2,2,1,1,2,1,2.33,2,1,2,2,2,1,2,1
Rhodoplanes,1,1,1,1,1,3,1,1,2,1,1,1,1,2,1,1,1,2.55,1,2,2,1,2.98,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2.77,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1
Rhodopseudomonas,3,4,4,3,3.52,4,1,4,2.89,3,3,3,3,3,2.26,2.24,2,3,1,3,2.03,4,3,3,1,3,5,3,3,3,3,4,4,1.44,1,1,1,1,2,2.99,2.42,4,3,2,3,3.88,4,3,4,2.72,2,4,4,1,3,2,2.99,3,2,3,4,3,2,2,3,2
Rhodospirillum,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,3,1,2,1,2,2,2.77,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1.98,1,1,1,1,2,1,1,1,1,2.01,1,2,1
Rhodovulum,1,2,2,2.06,1,3,1,2.09,2,2,2,2,2,1,2,2,2,2.99,1,2.94,2,2,2,2,1,3,1,2,2,2,1,1,3,1,1,1,1,1,1,1,1,3,2,1,2,2.8,2,2,1,2,2,2,2.2,1,1,1,2,3,2.05,1,1,3,2.12,1,1,1
Riemerella,2,2,3,1,1,2,2,2,3.89,2.11,2,2.07,2,2.96,3,3,3,2,1,3,3,2,2,2,2,2,2,1,1,2,2,2,2.12,1.42,2,1,1,1,1,1,2,1,2.23,1,1,2,2,3,2,2.7,3,2,2,1,2,2,2,3,2,2,2,2.98,3,2,3,3
Roseburia,2,3,2,2.87,3.32,2.99,2.03,3.07,4,3,3,3,3.16,4,3,3,4,3,2.38,4,5,2,3,2,3,2,3,4,3,3,2,4,3,1,2,1,1,1,2,3,3,2,2,2,2,2.79,3.09,3,3,3,4,3,3.61,1,3,3.43,4,2.35,3,2,2,2.96,3,3,4,2.63
Roseomonas,2,2.99,2,2,2,3,1,2.93,3,2.12,1,3,3,2,3,1,2,2,1,2,2,3,1,2,1,2,1,2,2,2,1,1,1,1.18,1,1,2.04,1,1,2,1,2,2,3,2,2,2,2,3,2,2,2.36,2,1,2,2,2,3.96,2,2,2,2,2.16,1,1,1
Rothia,5,5,6,5.85,6,5,6,6.05,5,4.24,5,5,5,5,6,5,5,5,4,5,6,6,6,5.99,3.32,5.95,5,5.04,6,5,5,6,5,3,3.9,4,4,4.56,4,3.13,4.82,6,5,5,4,5,6,5,5,6,6,6,6,4.91,5,5,5,6,5,5,6,5,5,4,5,4.21
Rubrivivax,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2.31,1,2,1,1,2,2,2.17,1,3,1,2,1,1,1,1,1,1,2,1.21,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2.94,1,2,2,2,1,1,1,1
Ruegeria,1,2,2,2,1,3,1,2,2,2,1,1,1,2.99,1,2,1,2,1,1,2,2,2,2,1,1,1,2,2,1,1,1,2,1.55,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,3,1.99,1,1,2,2,2,1,1,2,1,1,1,1,1
Salinicoccus,1,1,1,1,1,3,1,1,1,1,1,1,2.14,1,1,1,1,1,1,2.12,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1
Salmonella,4,5,4.06,4,4,5,4,3.99,4,4,4,5,4,3,2,3,4,4,2,4,4,3,4,2.32,2,3,2,3,4,4,4,3,4,1,1,3,2.01,2,3.26,1,2.91,4,2.06,2,2.25,5,4,3.68,3,5,4,4,3,1,4.61,3.07,4,3,4,3,5,4,4,4,3,3
Serinicoccus,3,2.04,2.81,3,3,2,2.05,1,1,1,2.04,1,2,1,1,1,2,2,1,2,2,3,2.99,2,1,2,1,2,1,3,2,2.57,2,1.17,1,1,1,2,1,1,1,2.42,2,2,2.97,1,1,2,2,3,2,3,1,1,2,2,2,3,2,2,2,2,2,1,2,2
Serratia,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,7,10,10,8,10,8,8,8,9,10,10,10,10,10,10,3.23,8,10,10,10,10,10,9,10,7,8,5,10,10,10,9,10,10,10,10,10,10,10,10,8,10,9,10,10,10,8,10,9
Sextaecvirus,4,2.09,3.03,3,3.03,3,5,3,5,2,3,3,4,4,3,3,4,3,4,4,4,4,4,2.38,4,3,4.26,3.02,3,4,3,2.56,4,2.32,1,3.78,1,2,2.5,1,2.9,3.34,3,4,3.64,3,3,2,3.84,3.4,4,4.65,4,1,3,4,4,4,2,2,3,3,3.28,4,4,6
Sfi21dt1virus,2,1,1,1,2,2,1,1,2,2,1,1,2.83,2.22,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2.99,2,2.27,1,1,1,1,1,2,1,1,1,2,6,2,1,1
Shewanella,2,3,3,3.74,3.62,3,4,3.73,3.37,2.91,3,3,3,4,2,4,4,5,2,4,3,2.24,4,2,5,3,3,2.89,3,2,2.82,3,1,1.15,1,2.04,3,1,1,1,2,2,2.75,3,3,2,4,3,4,4,4,3,3,1,2.16,3,4,5,3.55,3,3,3,3,3,4,2
Shinella,2,3,3,3,1,3,3,2,3,3,2,2,2.82,2,3,2,3,2.97,1,2,2,3,3,3,1,3,1,2,4,2.49,2,3,3,1.24,2,2.06,2.03,2,2,1,2,3,3,2.16,2,3,3,3,2,3,3,2,2.73,1,3,2,2,4,3,2.47,3,3,2,1,2,1
Sinorhizobium,2,3,3,3,2.99,2.35,2.02,2.12,3,2,2,2,3,2,2.28,1,2,3,1,3,2,3.87,3,3,1,3,2,2,3,3,2.02,2,3,1.29,1,2.03,2.02,1,1,1,1,3,3,2,2.57,2,3,2,1,2,2,2,2,1,2,2,2,3,3,2,2.24,2,2,1,2,2
Sk1virus,2,2,2,2,2,2,1,2,2,2,2,2,1,7,1,2,2,2,10,2,2,2,1,2,4,2,3,2,2,2,2,1,2.1,10,10,1,1,2.73,1,1,8,2,7,3,6.06,1,2,2,8,2,2,2,2,2.02,2,2,2,2.92,2,8,2,2,2,8,2,2
Sorangium,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2.96,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1
Sphingobacterium,2,3,2.02,3,2,3,3,4,3.45,3,3,3,4,4,1,2,4,4,3,4,4,3,3,4,3,3,4,3,4,3,2,3,3,1.92,1,2.01,1,2.74,4,4,2,3,3,3,2,3,3,5,2,4,3,4,4,1,4,6,4,4,4,2,3,3,3,3.91,5,4
Sphingobium,3,3,3,4,7,3,3,6.8,3.01,2,2,4,3,2,4,3,3,4,1,3,5,5.04,3.96,5,2,5,3.74,6,4,3,4.11,6.98,4,1.81,1,2.05,1,2,2,1,3,4,4,4,2,3,4,4,3,3.06,2,3,7,1,3,3,3,4.01,3,3,3,3,3,3,5,2
Sphingomonas,2,3,4,4,4,4,3,4,3,3,3,2,4,2.97,3,3,3,3,2,3,3,4.68,3,4,2.14,4,3,4,4,3,3.97,4,3,3.01,2,2.02,1,1,1,2,3,3,4,4,4,3.06,3.8,4,3.44,4,3,3.49,4.71,1,3,2,2,4.99,3,3,4,3.04,3,2,3,2
Sphingopyxis,3,3,4,3,2.27,3,3,2.13,3,3,3,2.88,2.82,2.98,2,2,2,2,1,3,2,4,3,3,1,3,2,2,2.62,2,3,3.06,3,1.84,1,2.06,1,1,1,1,2,3,3,2.15,3,3,2,3,2,4,2.19,3,2.02,2.04,3,2,2,4,3,1,2.14,3,2,2,1,2
Spiroplasma,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,3,2,1,3,3,2,1,1,1,1,1,1.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.03,2.16,1,1,2,3,1,1,1,1,1,3,2,2,2,2,2,1,1,2,2
Staphylococcus,9,10,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6.99,9,10,10,10,10,10,8,10,10,10,10,10,9,10,8,10,10,10,10,10,8,10,10,10,9,8,9,9,10,10,10,10
Stenotrophomonas,4,4,5,5,4,5,5,5,4,3,4,4,5,3,4.9,4,4,4,2,4,4,5.18,5,5.99,3.31,5,5,4,5,4,4,4.81,5,3.49,4.88,1,3.66,4.52,3.29,2,3,5,5,5,5,4,5,5,4,4,4,5,5,4.91,9,4,3,7,7,4,8,9,5,6,4,4
Streptococcus,8,7,7,8,8,7,8,8,7,6,8,6,7,10,8,8,7,6,10,8,8,7,7,7,10,7,8,7.05,7,7,7,8,7,10,10,8,8,8,7,7,10,8,10,8,10,6,7,8,10,8,8,8,8,7.41,6,7,7,8,6,10,7,6,7,10,8,9
Streptomyces,3,3,4,4,4,4,3,2,4,3,3,3,3,3,2.33,2.99,3,3,1,3.06,3,4.18,4,4,2,4,3,3.07,4,4,3,4,4,1.98,2.74,1,1,2,1,3,3,3,4,4,3.34,3,3,3,3,3.96,3.03,4,3.04,1,3,2,3,5,3,3,4,3,3,2,2,2
Sulfuritalea,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1
T4virus,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,3,1,1,1,1,1,1,1
Tannerella,2,3,3,2.92,2.72,3,3,3,3,2,2.93,2,2.8,2,2.4,1,3,2,2,3,5,3,1,3,3,3,4,3,2,3,2.04,3,3,2,1,1,1,1,2.65,1,3,3,3,4,3,2.76,4,2,1,3,3,3,3,1,2,3,3,3,2,2,3,2.1,1,2,3,2
Tessaracoccus,3,3,4,3,3,3,3,3.94,3,2,2.03,3,3,2,3,3,2,3,1,3,3,2.19,4,3,2,3,2,3,3.92,2.98,3,3.02,3,1.87,2,1,1,1,1,1,2.29,4,3.99,3,3,3,3,3,3,3.99,3,3,3,1,2.22,2,2.01,4,3,3,3,3,3,2,1,1
Tetragenococcus,3,2,3,3,3,2,2.02,3,3,3,4,2,3,4,3,3,3,3,2,3,3,4,2,4.99,4,4,2,2,4,3,2.84,2.93,3,2.88,2,2.04,2.05,1,2,1,2,2.44,4,3,6,3,3.02,3,2.86,3,3,4,2.18,2.03,3,3,3,5,2,3,2,2.79,3,3,2.9,5
Thauera,1,1,1,2.07,2.06,2,1,2,3,1,2,2,2,1,2,2,1,1,1,2,2,3,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.99,1,2,1,2,1,1,1,1.98,1,2,2,1,2,1,1,2,2.04,1,1,2,1
Theileria,2,2,2,2,2,3,1,2,3,2,3,2,2,2,3,1,2,2,1,2,2,2,2.97,2,2,2,2.43,2.85,2,3,2,1,2,1.11,1,1,2.03,1,1,1,2.03,2,2,1,2,3,1,2,1,2,2,3.55,2,1,2,2,2,3,2.04,2,1,2,2,1,1,1
Thermoanaerobacterium,1,2,1,1,1,2,1,2,2,1,2,1,2,2,1,1,2,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1.18,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,2,1,2,1,1,2,2,2,1
Thermothelomyces,2,2,3,2,3,2,2,3.08,4,2.11,1,2,2,3.96,1,2.19,3,3,2,2,3.93,1,2.98,1,1,2,2,2,2,2,2,2,2,1.71,1,2.03,1,1,1,1,1,3,1,2,2.02,1,3,2,1,2.03,3,2,2.09,1,2,3,3,3,2,2,1,2,3,2,2,1
Thielavia,3,3,3,3,2,2,2,2,3,2.89,3,3,3,2,3,2,3,2,1,3,2,2,1,2.34,1,2,2,2,3,2.46,3,2.1,3,1.53,1,1,1,1,1,1,2,3.22,1,1,2,2,3,3,2,2,2,3,1.99,1,1,1,2,3,3,2,1,3,3,2,1,1
Thiomonas,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1
Tistrella,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2.48,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.99,1,1,1,1,1,1,1,1,2,2,1,1,1
Tolumonas,1,1,1,2,1,2.99,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2.93,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1
Trichodesmium,2,2,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,2,1,1,1,2,1,1,1,2,2,3,2,1,1,1,1
Tsukamurella,2,2,1,2,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2.99,3,1,2,2.47,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,1
Tyzzerella,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2.81,3,1,1,1,1,1,1,1,1,1,1,2,1,1.17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2
Vagococcus,2,3,2,2,2,3,3,2,3,2.12,2,2,2.07,2,3,2,3.71,3,1,3.08,4,2,3,1,1,1,1,2,4,2,2,2.6,2,2.64,2,1,1,1,1,1,1,2.3,1,2,2.76,2,2,2.99,2,2,3,3,2,2.03,3,3,3,2,2,2,3,2,2,3,2.01,3
Variovorax,2,2,2,2.07,1.99,2,1,1,2,2,2,2,1,1,2,1,2,2.02,1,2.11,2,3,3,3,1,2,2.45,2,3,2.5,2,1,2.12,1,1,1,1,2,1,1,2,2,3,3,1.95,1,3,2,2,3,3,2,2.78,2.04,2,1,2,3,2,2,2,2.81,1,2,1,1
Veillonella,3,3,4,5,5,4,4,5.96,5,4,4,3.17,4,5,5,4,5,4,4,5,7,5,5,5.99,6,5,6,5,5,4,4,6,4,2.74,3.9,3,3.61,4,4,5,3,4,5,6,4,3.99,5,4.87,3,5,5,5,6,2.03,3,4,5,6,4.98,3,4,4.04,4,5,6,5
Verminephrobacter,2,2,2,1,5,2,1,4,2,1,1,2,2,2,1,1,2,2,1,2.11,3,1,1,1,1,1,2,4,2,2,2,5,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,3,1,2,2,1,5,1,1,2,2,1,2,1,1,2.13,1,2,3,2
Vibrio,3,3,3,2.85,2.75,3,2,1,3,2,2,2,2.06,2.72,2,2,3,3,2.32,3.09,3,1,1,1,5,1,2,2.84,2,2,3,2.97,2,1.56,1,1,1,2,2,3,2,2,2,3,1.99,2,3,2,3,3,3,3,2,2.03,2,3,4,2,3,1,3,2,2,3,2,2
Weeksella,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,3,1,2,1,2,2,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2.72,2.95,2,1,1,2,3,1,2,1,1,2,2,1,2,1,1
Weissella,3,3.99,4,4,3,4,6,3.89,4,3,4,3,4,4,6,4,4,3,3,4,3.02,2,4,3,2.11,3,4,3,4,2,4,3,3,5.76,3.9,3,1,2,1,3,3,6,2,3,3,4,4,3.27,3,4,6,3,3.03,4.91,4.02,3,4,3,4,2.99,5,3.16,3,3,3.25,3.18
Xanthobacter,6,6,6.64,6,5,6,6,6,5,5,5,5,6,3,7,5,4,6,2,5,4,3,6,2,2,2,3,5,7.2,6,6,5.97,6,2.09,2,5,2.02,3.59,3.27,3,4,6,2.96,2.11,2,5,6,7,5,6,5,6,5,3.95,5,3,4,3,5,4.47,6,5,5,3,4,2.57
Xanthomonas,4,4,4,5,5,3.29,4,5,4,3.8,3,3.98,4,4,4,4,4,3.99,3,4,5,6,4,6,3,6,5.45,4.01,4,4,4,5,4.98,3.67,2.71,3,2.01,2.78,3,1,3,4,5,6,5,4,5,4,4,4,4,4,5,1,3.97,3,4,6,4,3,5,4,3.14,3,4,3
Xenorhabdus,2,2.76,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2.99,2,1,2,1,2,1,2,1,1,1
Xylanimonas,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,3,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1
Yersinia,5,7,7,6,6,7,6,5.91,6,6,6,7,7,6,6,6,6,6,4,6.98,6,3,7,3,3,3,3,6,6.31,6,7,5.98,6,1,3.9,5,4.74,6,6,5,4,6,2.35,3,2,6,6,6,5,7,6,7,6,3.93,5,7,6,4,5,4.51,7,5,6,5,6,5
Zymomonas,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2.32,2,1,1,1,2,1,1,1
Acetobacter,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,2,1,1,1,2,1,1,1,2
Acholeplasma,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,3,1,1,1,1,2.12,1,2,2,1,1,1.26,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,3,3,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2
Acidihalobacter,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1
Acidithiobacillus,1,2,1,1,3,1,1,2.18,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,1,2.46,2,1,1,1,2.02,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3.96,1,1,1,1,1,1,1,1,2,1,1,2.01,1
Actinosynnema,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1
Alcaligenes,1,2,2,1,1,1,2.01,3.01,2,2,2,2.9,1,3,1,1,2,2,1,1,1,2,2,1,2,2,1,1,1,1,1,2,3,1,1,2.03,1,1,2,1,1,1,1,1,2,2,1,1,2.9,1,2.24,1,1,1,2.98,2,3,2,1,3,1,2,1,1,2,1
